City,Price
Kamareddy,96.67 ₹/L
Kamrup,89.44 ₹/L
Kamrup Metro,89.42 ₹/L
Kanchipuram,93.25 ₹/L
Kandhamal,94.20 ₹/L
Kangpokpi,85.56 ₹/L
Kangra,86.62 ₹/L
Kanker,94.83 ₹/L
Kanniyakumari,93.37 ₹/L
Kannuaj,88.51 ₹/L
Kannur,94.90 ₹/L
Kanpur Rural,87.77 ₹/L
Kanpur Urban,87.78 ₹/L
Kapurthala,87.31 ₹/L
Karaikal,86.27 ₹/L
Karauli,91.12 ₹/L
Karbi Anglong,89.61 ₹/L
Karim Nagar,95.67 ₹/L
Karimganj,90.44 ₹/L
Karnal,87.82 ₹/L
Karur,93.28 ₹/L
Kasaragod,95.58 ₹/L
Kashi Ram Nagar,88.12 ₹/L
Kathua,83.99 ₹/L
Katihar,93.15 ₹/L
Katni,92.88 ₹/L
Kaushambi,88.21 ₹/L
Kawardha,94.53 ₹/L
Kendrapara,92.59 ₹/L
Keonjhar,94.20 ₹/L
Khagaria,91.68 ₹/L
Khammam,96.83 ₹/L
Khandwa,93.08 ₹/L
Khargone,93.33 ₹/L
Kheda,90.64 ₹/L
Khordha,92.74 ₹/L
Khowai,86.42 ₹/L
Khunti,92.69 ₹/L
Kinnaur,87.48 ₹/L
Kiphere,89.92 ₹/L
Kishanganj,93.19 ₹/L
Kishtwar,85.47 ₹/L
Kodagu,92.04 ₹/L
Koderma,93.41 ₹/L
Kohima,88.59 ₹/L
Kokrajhar,89.60 ₹/L
Kolar,90.86 ₹/L
Kolasib,86.65 ₹/L
Kolhapur,90.99 ₹/L
Kolkata,92.02 ₹/L
Kollam,95.79 ₹/L
Komram Bheem Asifaba,97.07 ₹/L
Kondagaon,94.76 ₹/L
Koppal,91.88 ₹/L
Koraput,94.19 ₹/L
Korba,93.33 ₹/L
Koria,94.06 ₹/L
Kota,89.78 ₹/L
Kottayam,94.86 ₹/L
Kozhikode,94.86 ₹/L
Krishna,97.83 ₹/L
Krishnagiri,94.25 ₹/L
Kulgam,85.47 ₹/L
Kullu,87.16 ₹/L
Kupwara,87.68 ₹/L
Kurnool,97.72 ₹/L
Kurukshetra,88.24 ₹/L
Kushinagar,88.01 ₹/L
Kutch,89.99 ₹/L
Lahul Spiti,87.07 ₹/L
Lakhimpur,91.20 ₹/L
Lalitpur,88.51 ₹/L
Latehar,93.85 ₹/L
Latur,91.68 ₹/L
Lawngtlai,88.59 ₹/L
Lohardaga,93.50 ₹/L
Lohit,82.20 ₹/L
Longding,82.08 ₹/L
Longleng,89.92 ₹/L
Lower Dibang Valley,82.21 ₹/L
Lower Subansiri,81.30 ₹/L
Luckeesarai,92.26 ₹/L
Lucknow,87.81 ₹/L
Ludhiana,87.87 ₹/L
Lunglei,88.58 ₹/L
Madhepura,92.44 ₹/L
Madhubani,92.75 ₹/L
Madurai,92.98 ₹/L
Mahabubabad,95.60 ₹/L
Maharajganj,88.64 ₹/L
Mahasamund,94.41 ₹/L
Mahe,83.90 ₹/L
Mahendragarh,87.98 ₹/L
Mahisagar,90.62 ₹/L
Mahoba,88.88 ₹/L
Mainpuri,88.23 ₹/L
Majuli,91.33 ₹/L
Malappuram,94.93 ₹/L
Malda,92.03 ₹/L
Malkangiri,94.19 ₹/L
Mamit,87.76 ₹/L
Mancherial,96.66 ₹/L
Mandi,86.46 ₹/L
Mandla,93.65 ₹/L
Mandsaur,92.65 ₹/L
Mandya,90.91 ₹/L
Mansa,87.50 ₹/L
Mathura,87.21 ₹/L
Maunathbhanjan,88.70 ₹/L
Mayurbhanj,93.29 ₹/L
Medak,96.20 ₹/L
Medchal Malkajgiri,95.70 ₹/L
Meerut,87.67 ₹/L
Mehabubnagar,96.20 ₹/L
Mehsana,90.31 ₹/L
Mewat,88.15 ₹/L
Mirzapur,87.98 ₹/L
Moga,88.05 ₹/L
Mokokchung,89.61 ₹/L
Mon,89.56 ₹/L
Moradabad,88.06 ₹/L
Morbi,90.74 ₹/L
Morena,92.05 ₹/L
Morigaon,90.18 ₹/L
