City,Price,Latitude,Longitude,Distance_from_Toranagallu_km
Guna,92.37 ₹/L,24.644937,77.309893,
Guntur,97.47 ₹/L,16.315045,80.416597,
Gurdaspur,87.98 ₹/L,32.041437,75.40301,
Gurgaon,87.82 ₹/L,28.459647,77.061922,
Gwalior,92.51 ₹/L,26.204733,78.174188,
Hailakandi,90.16 ₹/L,24.684747,92.56451,
Hamirpur,85.89 ₹/L,25.9608,80.144382,
Hanumangarh,91.72 ₹/L,29.61716,74.28065,
Hapur,87.80 ₹/L,28.730469,77.775946,
Harda,92.08 ₹/L,22.336486,77.090593,
Hardoi,88.40 ₹/L,27.396424,80.125048,
Haridwar,87.63 ₹/L,29.926373,78.132662,
Hassan,90.77 ₹/L,13.006873,76.098393,
Hathras,87.57 ₹/L,27.598172,78.052644,
Haveri,91.94 ₹/L,14.78775,75.399726,
Hazaribagh,93.66 ₹/L,23.98178,85.359021,
Hingoli,92.03 ₹/L,19.713005,77.140243,
Hisar,88.08 ₹/L,29.138718,75.73683,
Hojai,90.29 ₹/L,26.003526,92.854297,
Hooghly,92.41 ₹/L,22.800023,88.819523,
Hoshangabad,91.99 ₹/L,22.752198,77.732793,
Hoshiarpur,87.69 ₹/L,31.534462,75.903867,
Howrah,92.01 ₹/L,22.608201,88.27005,
Hyderabad,95.70 ₹/L,17.390617,78.470769,
Idukki,95.97 ₹/L,9.847496,76.982042,
Indore,91.94 ₹/L,22.705243,75.864121,
Jabalpur,92.18 ₹/L,23.170662,79.921139,
Jagatsinghpur,92.21 ₹/L,20.2557,86.17112,
Jagitial,96.54 ₹/L,18.79972,78.92829,
Jahanabad,91.87 ₹/L,25.213303,84.985329,
Jahbua,92.37 ₹/L,,,
Jaipur,90.21 ₹/L,26.894497,75.791307,
Jaisalmer,91.39 ₹/L,26.914984,70.921197,
Jajpur,92.97 ₹/L,20.850057,86.337526,
Jalandhar,87.38 ₹/L,31.311446,75.607822,
Jalaun,88.26 ₹/L,26.144561,79.335251,
Jalgaon,91.23 ₹/L,21.004324,75.564171,
Jalna,92.03 ₹/L,19.842586,75.894709,
Jalor,91.73 ₹/L,25.34558,72.61559,
Jalpaiguri,91.73 ₹/L,26.678556,88.775219,
Jammu,83.33 ₹/L,32.70197,74.871912,
Jamnagar,90.06 ₹/L,22.468275,70.054588,
Jamtara,93.16 ₹/L,23.963,86.80285,
Jamui,92.85 ₹/L,24.925766,86.225653,
Jangaon,95.81 ₹/L,17.72602,79.15236,
Janjgir,93.61 ₹/L,22.00922,82.5778,
Jashpur,94.61 ₹/L,22.88772,84.13925,
Jaunpur,88.92 ₹/L,25.746435,82.683705,
